time,symbol,bar_time,price,spread,equity,signal,vol_ann,kelly_mult,target_exposure,current_lots,target_lots,action,reason,fill_price,realized_pnl,fees,result
2026-09-12T22:23:47+00:00,XAU/USDT:USDT,2026-09-11 00:00:00+00:00,4358.26,0.35,5000.0,-0.333,0.2545,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-12T22:23:49+00:00,BTC/USDT:USDT,2026-09-11 00:00:00+00:00,77258.55,0.1,5000.0,0.333,0.393,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-12T22:23:50+00:00,ETH/USDT:USDT,2026-09-11 00:00:00+00:00,2524.26,0.01,5000.0,1.0,0.5288,0.25,0.047,0.0,0.0,hold,,,,,
2026-09-13T00:27:06+00:00,XAU/USDT:USDT,2026-09-12 00:00:00+00:00,4359.08,1.52,5000.0,-0.333,0.2422,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-13T00:27:09+00:00,BTC/USDT:USDT,2026-09-12 00:00:00+00:00,77246.45,0.1,5000.0,-0.333,0.3738,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-13T00:27:11+00:00,ETH/USDT:USDT,2026-09-12 00:00:00+00:00,2524.69,0.01,5000.0,1.0,0.503,0.25,0.149,0.0,0.0,hold,,,,,
2026-09-14T00:27:40+00:00,XAU/USDT:USDT,2026-09-13 00:00:00+00:00,4341.68,0.85,5000.0,-0.333,0.2307,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-14T00:27:42+00:00,BTC/USDT:USDT,2026-09-13 00:00:00+00:00,76557.85,0.1,5000.0,-0.333,0.3575,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-14T00:27:44+00:00,ETH/USDT:USDT,2026-09-13 00:00:00+00:00,2471.12,0.01,5000.0,0.333,0.4989,0.25,0.134,0.0,0.11,trade,,2471.125,0.0,0.2718,"{""ok"": true, ""executed"": [{""id"": ""809d4cea-fba1-4496-a9ee-2245e5b8e877"", ""side"": ""buy"", ""amount"": 0.11, ""filled"": 0.0, ""reduce_only"": false, ""avg"": null, ""status"": ""open""}], ""net_lots"": 0.11, ""fill_av"
2026-09-14T11:22:25+00:00,SOL/USDT:USDT,2026-09-13 00:00:00+00:00,101.66,0.01,4999.81,1.0,0.5636,1.0,4.258,0.0,2.91,trade,,101.655,0.0,0.2958,"{""ok"": false, ""executed"": [{""id"": ""ed2c4f87-0f8a-4e2f-972a-0f275e191542"", ""side"": ""buy"", ""amount"": 41.89, ""filled"": 0.0, ""reduce_only"": false, ""avg"": null, ""status"": ""open""}], ""net_lots"": 2.91, ""fill_"
2026-09-14T11:22:31+00:00,XRP/USDT:USDT,2026-09-13 00:00:00+00:00,1.4,0.0009,4999.66,-0.333,0.6525,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-15T00:27:53+00:00,XAU/USDT:USDT,2026-09-14 00:00:00+00:00,4295.05,1.65,4999.55,-0.333,0.2268,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-15T00:27:55+00:00,BTC/USDT:USDT,2026-09-14 00:00:00+00:00,77981.95,0.1,4999.55,0.333,0.3549,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-15T00:27:58+00:00,ETH/USDT:USDT,2026-09-14 00:00:00+00:00,2507.89,0.01,4999.55,1.0,0.4808,0.25,1.248,0.11,0.5,trade,,2507.895,0.0,0.9781,"{""ok"": true, ""executed"": [{""id"": ""2e98cfbb-4db9-4e6b-95a7-02269710cf19"", ""side"": ""buy"", ""amount"": 0.39, ""filled"": 0.0, ""reduce_only"": false, ""avg"": null, ""status"": ""open""}], ""net_lots"": 0.5, ""fill_avg"
2026-09-15T00:28:04+00:00,SOL/USDT:USDT,2026-09-14 00:00:00+00:00,102.6,0.01,4998.97,1.0,0.5675,1.0,4.229,2.91,30.91,error,,,,,"InsufficientFunds: phemex {""code"":11082,""msg"":""TE_CANNOT_COVER_ESTIMATE_ORDER_LOSS"",""data"":null}"
2026-09-16T00:25:37+00:00,XAU/USDT:USDT,2026-09-15 00:00:00+00:00,4293.36,1.78,4998.53,-0.333,0.2159,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-16T00:25:39+00:00,BTC/USDT:USDT,2026-09-15 00:00:00+00:00,75799.55,0.1,4998.53,-0.333,0.3918,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-16T00:25:41+00:00,ETH/USDT:USDT,2026-09-15 00:00:00+00:00,2402.61,0.01,4998.53,0.333,0.5423,0.25,0.369,0.5,0.15,trade,,2402.605,-34.0202,0.8409,"{""ok"": true, ""executed"": [{""id"": ""f41624b5-3ff1-417d-8c77-8f1573f58afe"", ""side"": ""sell"", ""amount"": 0.35, ""filled"": 0.0, ""reduce_only"": true, ""avg"": null, ""status"": ""open""}], ""net_lots"": 0.15, ""fill_av"
2026-09-16T00:25:46+00:00,SOL/USDT:USDT,2026-09-15 00:00:00+00:00,97.12,0.01,4977.61,0.333,0.6357,1.0,1.259,2.91,9.67,error,,,,,"InsufficientFunds: phemex {""code"":11082,""msg"":""TE_CANNOT_COVER_ESTIMATE_ORDER_LOSS"",""data"":null}"
2026-09-17T00:25:37+00:00,XAU/USDT:USDT,2026-09-16 00:00:00+00:00,4292.06,0.88,4977.43,-0.333,0.2054,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-17T00:25:40+00:00,BTC/USDT:USDT,2026-09-16 00:00:00+00:00,76412.85,0.1,4977.43,-0.333,0.3763,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-17T00:25:42+00:00,ETH/USDT:USDT,2026-09-16 00:00:00+00:00,2423.86,0.01,4977.43,0.333,0.5186,0.25,0.386,0.15,0.16,hold,,,,,
2026-09-17T00:25:44+00:00,SOL/USDT:USDT,2026-09-16 00:00:00+00:00,98.94,0.01,4977.43,0.333,0.6155,1.0,1.3,2.91,9.81,trade,,98.935,0.0,0.6827,"{""ok"": true, ""executed"": [{""id"": ""19bf6488-2c8c-49d9-8ccc-fa1fab87e998"", ""side"": ""buy"", ""amount"": 6.9, ""filled"": 0.0, ""reduce_only"": false, ""avg"": null, ""status"": ""open""}], ""net_lots"": 9.81, ""fill_avg"
2026-09-17T00:25:50+00:00,XRP/USDT:USDT,2026-09-16 00:00:00+00:00,1.3,0.0008,4977.04,-0.333,0.8695,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-17T00:25:53+00:00,TRX/USDT:USDT,2026-09-16 00:00:00+00:00,0.34,0.0,4977.04,-0.333,0.1862,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-18T00:25:36+00:00,XAU/USDT:USDT,2026-09-17 00:00:00+00:00,4364.74,0.93,4976.64,-0.333,0.2252,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-18T00:25:38+00:00,BTC/USDT:USDT,2026-09-17 00:00:00+00:00,76319.15,0.1,4976.64,-0.333,0.3585,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-18T00:25:41+00:00,ETH/USDT:USDT,2026-09-17 00:00:00+00:00,2439.61,0.01,4976.64,1.0,0.4987,0.25,1.203,0.15,0.48,trade,,2439.605,0.0,0.8051,"{""ok"": false, ""executed"": [{""id"": ""59c84a19-7e9b-417a-841b-a52fb748544d"", ""side"": ""buy"", ""amount"": 0.33, ""filled"": 0.0, ""reduce_only"": false, ""avg"": null, ""status"": ""open""}], ""net_lots"": 0.48, ""fill_a"
2026-09-18T00:25:47+00:00,SOL/USDT:USDT,2026-09-17 00:00:00+00:00,101.07,0.01,4976.16,0.333,0.6118,1.0,1.308,9.81,9.66,hold,,,,,
2026-09-18T00:25:49+00:00,XRP/USDT:USDT,2026-09-17 00:00:00+00:00,1.29,0.0002,4976.16,-0.333,0.8271,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-18T00:25:51+00:00,TRX/USDT:USDT,2026-09-17 00:00:00+00:00,0.33,0.0,4976.16,-0.333,0.1776,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-19T00:25:37+00:00,XAU/USDT:USDT,2026-09-18 00:00:00+00:00,4386.56,0.81,4975.51,-0.333,0.2184,0.25,0.0,0.0,0.0,hold,,,,,
2026-09-19T00:25:40+00:00,BTC/USDT:USDT,2026-09-18 00:00:00+00:00,81036.75,0.1,4975.51,1.0,0.4808,0.25,1.248,0.0,0.019,trade,,81036.75,0.0,1.5397,"{""ok"": true, ""executed"": [{""id"": ""91b89563-f172-4ffe-b674-e99f008012d5"", ""side"": ""buy"", ""amount"": 0.019, ""filled"": 0.0, ""reduce_only"": false, ""avg"": null, ""status"": ""open""}], ""net_lots"": 0.019, ""fill_"
2026-09-19T00:25:46+00:00,ETH/USDT:USDT,2026-09-18 00:00:00+00:00,2612.88,0.01,4974.58,1.0,0.6065,0.359,1.419,0.48,0.54,trade,,2612.875,0.0,0.1568,"{""ok"": true, ""executed"": [{""id"": ""8a185036-d251-437c-8766-19270f89bcc5"", ""side"": ""buy"", ""amount"": 0.06, ""filled"": 0.0, ""reduce_only"": false, ""avg"": null, ""status"": ""open""}], ""net_lots"": 0.54, ""fill_av"
2026-09-19T00:25:51+00:00,SOL/USDT:USDT,2026-09-18 00:00:00+00:00,113.09,0.01,4974.49,1.0,0.8439,1.0,1.422,9.81,9.38,hold,,,,,
2026-09-19T00:25:54+00:00,XRP/USDT:USDT,2026-09-18 00:00:00+00:00,1.4,0.0002,4974.49,1.0,0.9138,0.25,0.328,0.0,174.42,trade,,1.4044,0.0,0.245,"{""ok"": true, ""executed"": [{""id"": ""1e88983a-96e3-422b-accb-c5594ff67982"", ""side"": ""buy"", ""amount"": 174.42, ""filled"": 0.0, ""reduce_only"": false, ""avg"": null, ""status"": ""open""}], ""net_lots"": 174.42, ""fil"
2026-09-19T00:26:00+00:00,TRX/USDT:USDT,2026-09-18 00:00:00+00:00,0.34,0.0,4974.35,-0.333,0.1801,0.25,0.0,0.0,0.0,hold,,,,,
